incidentid,LocationID,CityCde,CityName,CountyCde,COUNTYNAMETXT,LocationTypeCde,LocationTypeDesc,LocDescription,LocStreetNumber,LocStreetDir,LocStreetName,LocStreetSfx,LocAptNumber,LocalRdwyNumber,LocZip,LocZipExtension,StateCde,LatDecimal,LatDegrees,LatMinutes,LongDecimal,LongDegrees,LongMinutes,MilePointNumber,DirFromCityCde,MilesFromCity,Sector,InCityLimits,IncidentLocationTypeCde,RdwyNumber
23087934,30649061,7301,PADUCAH,73,MCCRACKEN,11,,PADUCAH PD - PLACE REPORTED,1400,,BROADWAY,,,,42001,,KY,37.08067589,37,4.841,-88.61308893,88,36.785,1.549,,,2,TRUE,1,
23091061,30652993,7301,PADUCAH,73,MCCRACKEN,,,224 VERMONT ST,224,,VERMONT,ST,,CS1056,42003,,,37.0459952,37,2.76,-88.6503395,88,39.02,0.063,,,5,,1,
23092959,30655166,7301,PADUCAH,73,MCCRACKEN,24,,CASH EXPRESS PAWN,401,,US60 BUS,,,,42001,,KY,37.08412541,37,5.048,-88.59482679,88,35.69,1.989,,,2,TRUE,1,US0060X
23095550,30658221,7301,PADUCAH,73,MCCRACKEN,5,,DONOVAN MARINE,2401,,POWELL,ST,,,42001,,KY,37.0618282,37,3.71,-88.57936386,88,34.762,0.477,,,6,TRUE,1,
23116074,30681696,7301,PADUCAH,73,MCCRACKEN,12,,WALMART SOUTH,3220,,US60,,,,42001,,KY,37.05368589,37,3.221,-88.5697066,88,34.182,17.155,,,6,TRUE,1,US0060
23119925,30686546,7301,PADUCAH,73,MCCRACKEN,12,,BANKS MARKET,2855,,US45,,,,42001,,KY,37.03894728,37,2.337,-88.66167906,88,39.701,6.97,,,5,FALSE,1,US0045
23120042,30686694,7301,PADUCAH,73,MCCRACKEN,8,,WALMART,5130,,US60,,,,42001,,KY,37.07633315,37,4.58,-88.68708999,88,41.225,10.323,,,7,TRUE,1,US0060
23121646,30688718,7301,PADUCAH,73,MCCRACKEN,11,,PADUCAH POLICE DEPARTMENT - PLACE REPORTED,1400,,BROADWAY,,,,42001,,KY,37.08075182,37,4.845,-88.61281544,88,36.769,1.564,,,2,TRUE,1,
23124295,30691418,7301,PADUCAH,73,MCCRACKEN,20,,SCHOLAR HOUSE,1035,,OLD FRIENDSHIP,RD,,,42001,,KY,37.04809642,37,2.886,-88.66602324,88,39.961,0.558,,,5,FALSE,1,
23133334,30702159,7301,PADUCAH,73,MCCRACKEN,,,KC'S BAR,3501,,PARK PLAZA,RD,,CS1163,42001,,,37.0812014,37,4.872,-88.663895,88,39.834,0.135,,,3,,1,
23133336,30702161,7301,PADUCAH,73,MCCRACKEN,,,RESIDENCE,2526,,LACLEDE,AVE,,CS1255,42001,,,37.0816559,37,4.899,-88.6325844,88,37.955,0.251,,,3,,1,
23142043,30712440,7301,PADUCAH,73,MCCRACKEN,,,MCCRACKEN COUNTY COMMUNITY CAREER ENDOWMENT,300,,US60 BUS,,,,42001,,KY,37.08440561,37,5.064,-88.59500384,88,35.7,1.975,,,,TRUE,1,US0060X
23142045,30712442,7301,PADUCAH,73,MCCRACKEN,2,Violation,SIGNET,1600,,CLARK,ST,,,42003,,KY,37.07652457,37,4.591,-88.61386896,88,36.832,0.387,,,4,TRUE,1,
23142047,30712444,7301,PADUCAH,73,MCCRACKEN,24,,LAKEVIEW DR,84,,LAKEVIEW,DR,,,42001,,KY,37.04064765,37,2.439,-88.66260218,88,39.756,0.051,,,5,TRUE,1,
23159036,30733717,7301,PADUCAH,73,MCCRACKEN,24,,847 N H C MATHIS DR - FASTENAL,847,N,H C MATHIS,DR,,,42001,,KY,37.09523396,37,5.714,-88.63126126,88,37.876,11.889,,,1,TRUE,1,US0045
23163084,30738407,7301,PADUCAH,73,MCCRACKEN,20,,N 7TH ST,432,N,7TH,ST,1,,42001,,KY,37.08918662,37,5.351,-88.60428709,88,36.257,0.307,,,1,TRUE,1,
23163086,30738409,7301,PADUCAH,73,MCCRACKEN,9,,DR. ANUNCIATO DOCTOR'S OFFICE,2605,,KENTUCKY,AVE,,,42001,,KY,37.0731927,37,4.392,-88.62864825,88,37.719,0.367,,,4,TRUE,1,
23173588,30751259,7301,PADUCAH,73,MCCRACKEN,20,,CS1140,1221,,OXFORD,TRCE,,,42001,,KY,37.07485313,37,4.491,-88.66998075,88,40.199,0.062,,,7,,1,
23187850,30768453,7301,PADUCAH,73,MCCRACKEN,13,,N 11TH ST AND NORTHVIEW,,N,11TH,ST,,,42001,,KY,37.09220484,37,5.532,-88.61968021,88,37.181,0.937,,,1,TRUE,1,
23187854,30768457,7301,PADUCAH,73,MCCRACKEN,13,,LOGANS ROADHOUSE,5137,,US60,,,,42001,,KY,37.07633141,37,4.58,-88.68784295,88,41.271,10.272,,,7,TRUE,1,US0060
23187855,30768458,7301,PADUCAH,73,MCCRACKEN,,,2714 MADISON ST,2714,,MADISON,ST,B,,42001,,KY,37.0767063,37,4.602,-88.6321566,88,37.929,0.329,,,3,TRUE,1,
23190272,30771397,7301,PADUCAH,73,MCCRACKEN,,,5002 HINKLEVILLE RD,5002,,HINKLEVILLE,RD,,,42001,,,37.0776371,37,4.658,-88.6835287,88,41.012,10.527,,,7,,1,
23191642,30773272,7301,PADUCAH,73,MCCRACKEN,,,RESIDENCE,268,,36TH,ST,,CS1192,42001,,,37.0699233,37,4.195,-88.6445246,88,38.671,0.799,,,3,,1,
23205084,30789955,7301,PADUCAH,73,MCCRACKEN,20,,ELMWOOD COURT,2325,S,25TH,ST,5,,42001,,KY,37.06753471,37,4.052,-88.61966363,88,37.18,0.493,,,4,TRUE,1,
23210631,30796770,7301,PADUCAH,73,MCCRACKEN,20,,RESIDENCE,1625,,LITTLE,AVE,,,42001,,KY,37.06244833,37,3.747,-88.60344416,88,36.207,0.401,,,2,TRUE,1,
23210632,30796771,7301,PADUCAH,73,MCCRACKEN,20,,RESIDENCE,1220,,US60 BUS,,,,42001,,KY,37.08690109,37,5.214,-88.613361,88,36.802,1.381,,,1,TRUE,1,US0060X
23210633,30796772,7301,PADUCAH,73,MCCRACKEN,18,,HOLIDAY HOUSE APARTMENTS,2845,,TRIMBLE,ST,,,42001,,KY,37.07917799,37,4.751,-88.63547253,88,38.128,0.446,,,3,TRUE,1,
23210634,30796773,7301,PADUCAH,73,MCCRACKEN,18,,DOLLAR GENERAL,613,,US60 BUS,,,,42001,,KY,37.08153619,37,4.892,-88.59370653,88,35.622,2.153,,,2,TRUE,1,US0060X
23210635,30796774,7301,PADUCAH,73,MCCRACKEN,10,,DAWSON'S PLACE,719,,JACKSON,ST,,,42001,,KY,37.07944983,37,4.767,-88.5994531,88,35.967,0.896,,,2,TRUE,1,
23210636,30796775,7301,PADUCAH,73,MCCRACKEN,38,,719 JACKSON ST,719,,JACKSON,ST,,,42001,,KY,37.07984901,37,4.791,-88.59854114,88,35.912,0.953,,,2,TRUE,1,
23210637,30796776,7301,PADUCAH,73,MCCRACKEN,20,,1412 S 4TH ST,1412,S,4TH,ST,,,42001,,KY,37.07141071,37,4.285,-88.58842775,88,35.306,0.828,,,2,TRUE,1,
23210638,30796777,7301,PADUCAH,73,MCCRACKEN,20,,1412 S 4TH ST,1412,S,4TH,ST,,,42001,,KY,37.0713542,37,4.281,-88.58838408,88,35.303,0.832,,,2,TRUE,1,
23215808,30802235,7301,PADUCAH,73,MCCRACKEN,8,,5130 US60,5130,,US60,,,,42001,,KY,37.07641069,37,4.585,-88.68744639,88,41.247,10.321,,,7,TRUE,1,US0060
23228240,30817441,7301,PADUCAH,73,MCCRACKEN,24,,CATO,3216,,US60,,,,42001,,KY,37.05358945,37,3.215,-88.56946517,88,34.168,17.168,,,6,TRUE,1,US0060
23237689,30829195,7301,PADUCAH,73,MCCRACKEN,8,,WALMART,5130,,US60,,,,42001,,KY,37.07604808,37,4.563,-88.688754,88,41.325,10.218,,,7,TRUE,1,US0060
23244433,30837261,7301,PADUCAH,73,MCCRACKEN,20,,1320 S 9TH,1320,S,9TH,ST,,,42001,,KY,37.07246971,37,4.348,-88.59695005,88,35.817,0.877,,,,,1,
